,name,price,supply,link
154," 189000.0,315; 0.315 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный ...",92,984 шт.,/product/siba-189000-0.315
155," 189000.0,4; 0.4 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,893 шт.,/product/siba-189000-0.4
156," 189000.0,5; 0.5 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,390 шт.,/product/siba-189000-0.5
157," 189000.0,63; 0.63 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,817 шт.,/product/siba-189000-0.63
158," 189000.0,8; 0.8 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,885 шт.,/product/siba-189000-0.8
159," 189000.1,25; 1.25 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,630 шт.,/product/siba-189000-1.25
160," 189000.1,6; 1.6 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,602 шт.,/product/siba-189000-1.6
161," 189000.1; 1 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",92,536 шт.,/product/siba-189000-1
162," 189000.10; 10 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,2112 шт.,/product/siba-189000-10
163," 189000.12; 12 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,1126 шт.,/product/siba-189000-12
164," 189000.15; 15 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",88,1448 шт.,/product/siba-189000-15
165," 189000.2; 2 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",90,408 шт.,/product/siba-189000-2
166," 189000.20; 20 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,584 шт.,/product/siba-189000-20
167," 189000.3,15; 3.15 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,1720 шт.,/product/siba-189000-3.15
168," 189000.4; 4 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,1562 шт.,/product/siba-189000-4
169," 189000.5; 5 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,1918 шт.,/product/siba-189000-5
170," 189000.6,3; 6.3 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",88,969 шт.,/product/siba-189000-6.3
171," 189000.8; 8 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",110,1044 шт.,/product/siba-189000-8
172," 520.622 (3,15A Быстр. Стекло)",46,10 шт.,/product/520.622-3.15a-bystr.steklo
173," 521.0250, 0.25 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",16,"5 недель, 6000 шт.",/product/521.0250-0.25-a-250-v-5-20
174," 521.0500, 0.5 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",16,"5 недель, 11980 шт.",/product/521.0500-0.5-a-250-v-5-20
175," 521.0630, 0.63 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 5990 шт.",/product/521.0630-0.63-a-250-v-5-20
176," 521.1100, 1 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 11535 шт.",/product/521.1100-1-a-250-v-5-20
177," 521.1160, 1.6 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 5960 шт.",/product/521.1160-1.6-a-250-v-5-20
178," 521.1200, 2 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 11938 шт.",/product/521.1200-2-a-250-v-5-20
179," 521.1300, 3 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 5990 шт.",/product/521.1300-3-a-250-v-5-20
180," 521.1315, 3.15 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 11930 шт.",/product/521.1315-3.15-a-250-v-5-20
181," 521.1400, 4 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 5940 шт.",/product/521.1400-4-a-250-v-5-20
182," 521.1500, 5 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 11947 шт.",/product/521.1500-5-a-250-v-5-20
183," 521.1630, 6.3 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",15,"5 недель, 11940 шт.",/product/521.1630-6.3-a-250-v-5-20
184," 521.1800, 8 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",16,"5 недель, 5950 шт.",/product/521.1800-8-a-250-v-5-20
185," 521.2100, 10 А, 250 В, 5×20, Предохранитель стеклянный быстродействующий",16,"5 недель, 11956 шт.",/product/521.2100-10-a-250-v-5-20
186," 522.0250, 0.25 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",16,"5 недель, 5995 шт.",/product/522.0250-0.25-a-250-v-5-20
187," 522.0500, 0.5 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",16,"5 недель, 6000 шт.",/product/522.0500-0.5-a-250-v-5-20
188," 522.0630, 0.63 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 6000 шт.",/product/522.0630-0.63-a-250-v-5-20
189," 522.1100, 1 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 5980 шт.",/product/522.1100-1-a-250-v-5-20
190," 522.1160, 1.6 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 6000 шт.",/product/522.1160-1.6-a-250-v-5-20
191," 522.1200, 2 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 6000 шт.",/product/522.1200-2-a-250-v-5-20
192," 522.1300, 3 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 6000 шт.",/product/522.1300-3-a-250-v-5-20
193," 522.1315, 3.15 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 5970 шт.",/product/522.1315-3.15-a-250-v-5-20
194," 522.1400, 4 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 6000 шт.",/product/522.1400-4-a-250-v-5-20
195," 522.1500, 5 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 5980 шт.",/product/522.1500-5-a-250-v-5-20
196," 522.1630, 6.3 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",15,"5 недель, 5980 шт.",/product/522.1630-6.3-a-250-v-5-20
197," 522.1800, 8 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",16,"5 недель, 6000 шт.",/product/522.1800-8-a-250-v-5-20
198," 522.2100, 10 А, 250 В, 5×20, Предохранитель стеклянный медленного срабатывания",16,"5 недель, 6000 шт.",/product/522.2100-10-a-250-v-5-20
199, 5ST 2.5-R,67,2 шт.,/product/5st-2.5-r
200," 611.0500, 0.5 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",22,"5 недель, 6000 шт.",/product/611.0500-0.5-a-250-v-6-30
201," 611.1100, 1 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",22,"5 недель, 6000 шт.",/product/611.1100-1-a-250-v-6-30
202," 611.1200, 2 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",22,"5 недель, 6000 шт.",/product/611.1200-2-a-250-v-6-30
203," 611.1300, 3 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",20,"5 недель, 6000 шт.",/product/611.1300-3-a-250-v-6-30
204," 611.1400, 4 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",20,"5 недель, 6000 шт.",/product/611.1400-4-a-250-v-6-30
205," 611.1500, 5 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",20,"5 недель, 6000 шт.",/product/611.1500-5-a-250-v-6-30
206," 611.1600, 6 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",20,"5 недель, 6000 шт.",/product/611.1600-6-a-250-v-6-30
207," 611.1800, 8 А, 250 В, 6×30, Предохранитель стеклянный быстродействующий",20,"5 недель, 6000 шт.",/product/611.1800-8-a-250-v-6-30
