<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,220208,000000,8867.62,8923.36,8832.54,8919.13,36354890319
MOEXOG,D,220209,000000,8952.07,9030.67,8926.05,9027,37517784052
MOEXOG,D,220210,000000,9000.29,9031.56,8920.09,9005.02,33133095640
MOEXOG,D,220211,000000,8892.18,8895.46,8674.67,8809.02,43239415160
MOEXOG,D,220214,000000,8543.97,8813.98,8502.83,8690,50434111036
MOEXOG,D,220215,000000,8780.74,8964.07,8758.05,8879.35,51432169547
MOEXOG,D,220216,000000,9009.58,9021.51,8862.56,8947.52,35580356727
MOEXOG,D,220217,000000,8823.78,8848.51,8597.16,8623.02,48789122663
MOEXOG,D,220218,000000,8727.97,8752.58,8322.01,8366.07,57547930792
MOEXOG,D,220221,000000,8494.66,8499.89,7180.08,7449.83,146294075914
MOEXOG,D,220222,000000,7005.58,7610.17,6792.61,7542.66,139959387649
MOEXOG,D,220224,000000,6691,6691,3961.88,5142.45,93407969272
MOEXOG,D,220225,000000,5632.58,6480.57,5632.58,6480.57,68384631221
MOEXOG,D,220328,000000,6712.31,6716.69,6454.33,6496.13,9920248483
MOEXOG,D,220329,000000,6460.92,6805.68,6274,6481.01,18372191666
MOEXOG,D,220330,000000,6607.73,6645.83,6534.61,6645.83,12767962015
MOEXOG,D,220331,000000,6693.76,7137.15,6671.51,7137.15,29435567481
MOEXOG,D,220401,000000,7196.89,7426.13,7155.3,7182.95,21907823883
MOEXOG,D,220404,000000,7263.44,7353.65,7029.55,7192.49,17433810186
MOEXOG,D,220405,000000,7241.72,7241.72,6672.32,6865.91,16554806352
MOEXOG,D,220406,000000,6777.36,6990.17,6733.4,6766.87,9247590319
MOEXOG,D,220407,000000,6800.07,6850.62,6714.14,6774.05,9805789401
MOEXOG,D,220408,000000,6819.71,6819.71,6568.08,6652.84,7377834836
MOEXOG,D,220411,000000,6663.95,6762.11,6594.59,6597.73,8167531618
MOEXOG,D,220412,000000,6603.37,6636.98,6361.81,6555.2,10130097358
MOEXOG,D,220413,000000,6587.24,6616.63,6506.19,6536.29,5523132167
MOEXOG,D,220414,000000,6539.49,6546.3,6231.31,6236.9,8067426748
MOEXOG,D,220415,000000,6227.46,6285.38,6104.3,6255.28,7313822433
MOEXOG,D,220418,000000,6295.88,6317.76,6043.95,6077.55,7220650373
MOEXOG,D,220419,000000,6061.9,6061.9,5722.11,5973.92,13062827843
MOEXOG,D,220420,000000,6006,6079.9,5828.15,5987.43,13933125611
MOEXOG,D,220421,000000,6001.62,6038.03,5825.86,5860.32,13512398998
MOEXOG,D,220422,000000,5835.55,5924.93,5789.11,5843.84,15337642863
MOEXOG,D,220425,000000,5812.39,5841.72,5709.52,5796.76,8016150389
MOEXOG,D,220426,000000,5830.35,6179.02,5827.05,6131.84,20317990821
MOEXOG,D,220427,000000,6148.39,6335.33,6098.58,6317.05,18405888838
MOEXOG,D,220428,000000,6351.06,6497.13,6199.41,6211.76,25027857917
MOEXOG,D,220429,000000,6229.39,6402.32,6222.11,6400.46,17635593490
MOEXOG,D,220504,000000,6398.02,6435.55,6178.11,6178.11,9059707187
MOEXOG,D,220505,000000,6219.63,6270.22,6210.7,6227.69,5883298021
MOEXOG,D,220506,000000,6210.77,6235.08,6153.39,6235.08,7788906711
MOEXOG,D,220511,000000,6219.48,6290.97,6163.58,6218.21,6663205707
MOEXOG,D,220512,000000,6197.36,6210.27,5946.12,5973.21,9951147353
MOEXOG,D,220513,000000,6023.9,6028.89,5922.13,5985.62,6791675583
MOEXOG,D,220516,000000,5988.55,6189.85,5988.55,6153.04,13909899042
MOEXOG,D,220517,000000,6201.2,6367.31,6185.88,6354.45,20279789485
MOEXOG,D,220518,000000,6397.03,6545.02,6397.03,6431.02,18448589983
MOEXOG,D,220519,000000,6494.36,6501.71,6392.75,6445.85,11036258699
MOEXOG,D,220520,000000,6451.95,6471.92,6296.13,6333.14,11317588769
MOEXOG,D,220523,000000,6367.21,6374.14,6103.89,6103.89,12162512361
MOEXOG,D,220524,000000,6085.34,6085.34,5885.93,6020.15,18452499546
MOEXOG,D,220525,000000,6064.14,6198.76,6019.32,6198.76,14083344107
MOEXOG,D,220526,000000,6250.8,6443.9,6179.5,6433.75,46748302101
MOEXOG,D,220527,000000,6502.5,6531.91,6445.92,6476.33,22318999510
MOEXOG,D,220530,000000,6547.01,6567.81,6372.41,6436.48,15141211523
MOEXOG,D,220531,000000,6413.72,6413.72,6293.47,6302.16,9692044417
MOEXOG,D,220601,000000,6252.99,6371.01,6252.99,6356.87,10389856431
MOEXOG,D,220602,000000,6337.84,6376.18,6261.27,6290.89,9194457182
MOEXOG,D,220603,000000,6311.54,6318.45,6142.74,6217.52,9720118024
MOEXOG,D,220606,000000,6253.07,6253.62,6163.82,6182.54,8335814203
MOEXOG,D,220607,000000,6156.85,6251.09,6087.38,6237.28,10831923015
MOEXOG,D,220608,000000,6272.41,6354.9,6250.32,6334.46,17397211063
MOEXOG,D,220609,000000,6357.94,6362.19,6251.07,6340.63,11438961961
MOEXOG,D,220610,000000,6334.25,6422.11,6319.6,6417.71,10037604922
MOEXOG,D,220614,000000,6376.56,6454.24,6355.16,6417.44,18237131026
MOEXOG,D,220615,000000,6429.26,6507.39,6382.7,6504.43,16208433296
MOEXOG,D,220616,000000,6524.1,6700.42,6501.18,6671.19,18584816533
MOEXOG,D,220617,000000,6677.55,6688.8,6580.35,6604.52,8876860447
MOEXOG,D,220620,000000,6618.72,6771.39,6618.72,6761.86,14237587303
MOEXOG,D,220621,000000,6780.75,6787.98,6650.37,6654.92,24985222212
MOEXOG,D,220622,000000,6587.65,6663.67,6527.86,6661.41,23073471540
MOEXOG,D,220623,000000,6652.6,6705.36,6591.17,6695.13,20963504699
MOEXOG,D,220624,000000,6700.42,6704.27,6595.01,6645.52,14928313954
MOEXOG,D,220627,000000,6644.84,6680.25,6625.81,6680.25,9611229650
MOEXOG,D,220628,000000,6676.97,6741.2,6620.05,6724.84,18597182872
MOEXOG,D,220629,000000,6701.79,6735.93,6621.94,6684.44,17911541747
MOEXOG,D,220630,000000,6711.78,6747.16,6155.75,6252.22,81814313532
MOEXOG,D,220701,000000,6264.23,6398.16,6207.12,6301.99,28974303230
MOEXOG,D,220704,000000,6344.32,6419.72,6258.81,6274.49,21123206582
MOEXOG,D,220705,000000,6285.5,6331.65,6226.23,6290.93,22019058538
MOEXOG,D,220706,000000,6298.41,6422.77,6273.9,6307.97,23250160818
MOEXOG,D,220707,000000,6279.34,6312.22,6218.75,6238.09,13411215776
MOEXOG,D,220708,000000,6188.88,6211.1,6151.36,6186.73,10480953947
MOEXOG,D,220711,000000,6176.03,6196.25,6053.37,6062.92,13608337241
MOEXOG,D,220712,000000,6035.51,6035.51,5878.96,5961.27,14961989568
MOEXOG,D,220713,000000,5970.64,5979.79,5758.9,5790.19,12134614314
MOEXOG,D,220714,000000,5785.01,5886.33,5702.83,5728.25,11495591916
MOEXOG,D,220715,000000,5762.12,5922.04,5724.29,5881.64,9621334305
MOEXOG,D,220718,000000,5916.43,5927.78,5797.05,5839.77,7887113956
MOEXOG,D,220719,000000,5708.38,5712.13,5614.99,5661.16,9290056340
MOEXOG,D,220720,000000,5672.54,5744.69,5655.26,5727.83,12384530866
MOEXOG,D,220721,000000,5732.3,5734.98,5586.46,5692.9,10530030239
MOEXOG,D,220722,000000,5706.52,5845.38,5706.52,5824.35,8761559093
MOEXOG,D,220725,000000,5820.52,5871.71,5778.52,5849.94,8584045635
MOEXOG,D,220726,000000,5871.44,5974.29,5871.44,5974.29,9321318779
MOEXOG,D,220727,000000,5985.35,6072.68,5958.43,6018.36,12634221379
MOEXOG,D,220728,000000,6048.38,6049.21,5948.57,5986.02,9000996505
MOEXOG,D,220729,000000,5996.73,6129.86,5961.29,6129.86,8487422567
MOEXOG,D,220801,000000,6129.98,6151.19,6034.2,6048.94,11065443830
MOEXOG,D,220802,000000,6036.99,6048.65,5910.82,5914.86,10505832983
MOEXOG,D,220803,000000,5942.06,5952.55,5873.5,5873.5,6389290380
MOEXOG,D,220804,000000,5859.87,5878.67,5819.8,5835.84,6634065434
MOEXOG,D,220805,000000,5846.54,5857.71,5682.23,5699.07,13986808048
MOEXOG,D,220808,000000,5837.6,5853.14,5758.06,5758.06,10312196826
MOEXOG,D,220809,000000,5781.69,5917.89,5729.83,5912.69,9617885366
MOEXOG,D,220810,000000,5914.37,5993.09,5905.22,5969.92,9458024540
MOEXOG,D,220811,000000,5995.63,6024.76,5900.16,5913.22,9801766480
MOEXOG,D,220812,000000,5918.51,5963.3,5879.65,5960.17,7168068392
MOEXOG,D,220815,000000,5947.49,6000.7,5904.94,5992.77,9082017268
MOEXOG,D,220816,000000,6066.11,6139.77,6039.95,6129.82,12737834722
MOEXOG,D,220817,000000,6155.1,6172.83,6039.8,6053.41,10264273225
MOEXOG,D,220818,000000,6049.7,6091.62,6017.81,6068.45,6203836256
MOEXOG,D,220819,000000,6071.22,6074.48,6023.06,6043.26,4834498893
MOEXOG,D,220822,000000,6027.93,6183.44,6018.03,6183.44,9496777404
MOEXOG,D,220823,000000,6197.55,6246.93,6191.15,6225.3,10523460499
MOEXOG,D,220824,000000,6234.72,6252.79,6201.09,6224.78,7507384216
MOEXOG,D,220825,000000,6247.57,6248.32,6148.73,6170.28,8439446138
MOEXOG,D,220826,000000,6185.84,6240.27,6162.37,6240.27,5951194945
MOEXOG,D,220829,000000,6252.36,6312.26,6240,6305.8,10517959043
MOEXOG,D,220830,000000,6320,6336.16,6273.59,6322.43,28161596730
MOEXOG,D,220831,000000,6495.78,6623.87,6475.94,6533.48,72217233919
MOEXOG,D,220901,000000,6524.91,6643.86,6459.62,6616.36,36758100131
MOEXOG,D,220902,000000,6606.77,6722.95,6594.89,6715.12,29300986158
MOEXOG,D,220905,000000,6718.04,6793.69,6640.66,6793.69,19886550999
MOEXOG,D,220906,000000,6787.51,6790.06,6519.93,6623.72,25360080941
MOEXOG,D,220907,000000,6594.4,6662.61,6543.9,6545.92,16654400717
MOEXOG,D,220908,000000,6532.8,6560.86,6482.36,6520.06,14316857219
MOEXOG,D,220909,000000,6546.3,6586.8,6525.8,6586.8,12497987657
MOEXOG,D,220912,000000,6555.79,6685.68,6555.79,6650.73,13809621418
MOEXOG,D,220913,000000,6672.62,6685.57,6582.76,6604.47,9467227345
MOEXOG,D,220914,000000,6585.38,6591.32,6498.31,6587.39,10988350014
MOEXOG,D,220915,000000,6595.84,6648.47,6533.87,6606.63,15299348127
MOEXOG,D,220916,000000,6604.3,6626.6,6524.56,6543.59,15466144477
MOEXOG,D,220919,000000,6529.78,6577.03,6507.07,6516.01,9007149686
MOEXOG,D,220920,000000,6497.46,6515.09,5791.19,5971.94,64174890146
MOEXOG,D,220921,000000,5469.47,5858.28,5408.13,5690.39,35131893951
MOEXOG,D,220922,000000,5737.23,5912.94,5737.23,5858.18,36703402019
MOEXOG,D,220923,000000,5861.35,5866.78,5565.07,5606.11,22744957000
MOEXOG,D,220926,000000,5460.23,5488.21,4871.65,5144.47,39449072201
MOEXOG,D,220927,000000,5178.05,5258.58,5069.81,5204.57,25373766653
MOEXOG,D,220928,000000,5256.08,5364.44,5191.54,5238.95,23718455225
MOEXOG,D,220929,000000,5329.11,5329.11,5128.77,5219.58,18011569354
MOEXOG,D,220930,000000,5312.7,5360.01,5020.53,5253.69,61602180250
MOEXOG,D,221003,000000,5346.58,5498.37,5308.87,5481.78,17170758540
MOEXOG,D,221004,000000,5560.24,5592.02,5404.15,5479.03,17416134669
MOEXOG,D,221005,000000,5466.22,5543.52,5305.85,5468.91,20562602621
MOEXOG,D,221006,000000,5450.96,5549.19,5440.18,5458.68,16826940487
MOEXOG,D,221007,000000,5421.94,5430.95,5227.43,5241.46,21773613049
MOEXOG,D,221010,000000,4769.56,5117.12,4747.72,5117.12,26024138422
MOEXOG,D,221011,000000,5156.95,5202.76,5083.23,5189.13,10395444423
MOEXOG,D,221012,000000,5243.01,5255.06,5149.72,5205.9,8812847011
MOEXOG,D,221013,000000,5202.61,5277.01,5196.44,5232.08,8719401370
MOEXOG,D,221014,000000,5261.68,5261.68,5170.57,5211.06,6705085512
MOEXOG,D,221017,000000,5236.29,5381.27,5221.88,5377.08,9921981447
MOEXOG,D,221018,000000,5435.33,5439.54,5354.74,5402.56,8114760231
MOEXOG,D,221019,000000,5293.31,5337.71,5221.65,5276.69,9981758172
MOEXOG,D,221020,000000,5341.69,5403.71,5307.74,5396.88,8833067256
MOEXOG,D,221021,000000,5390.64,5416.92,5314.3,5402.94,7731577356
MOEXOG,D,221024,000000,5469.36,5502.67,5427.97,5466.49,8996112473
MOEXOG,D,221025,000000,5480.99,5664.56,5459.62,5664.56,14204233451
MOEXOG,D,221026,000000,5685.29,5715.96,5598.01,5688.28,12447671281
MOEXOG,D,221027,000000,5733.97,5837.09,5702.09,5837.09,12251194321
MOEXOG,D,221028,000000,5790.07,5893.29,5756.32,5893.29,19220580131
