<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,D,230216,000000,75.08,75.08,74.505,74.8075,488404000
USD000000TOD,D,230217,000000,74.9025,75.275,73.935,74.1,485252000
USD000000TOD,D,230221,000000,74.6625,75.1675,74.4475,75.1,574868000
USD000000TOD,D,230222,000000,75.215,76.04,74.9875,75.8,1577760000
USD000000TOD,D,230227,000000,76.1,76.5,74.64,74.7425,830558000
USD000000TOD,D,230228,000000,74.62,75.5375,73.915,75,627228000
USD000000TOD,D,230301,000000,75,75.5225,74.95,75.03,553751000
USD000000TOD,D,230302,000000,75.2,75.6675,75.155,75.4175,415780000
USD000000TOD,D,230303,000000,75.0425,75.705,75.0425,75.52,368781000
USD000000TOD,D,230306,000000,75.31,75.905,75.25,75.3625,457266000
USD000000TOD,D,230307,000000,75.355,75.6625,75.2725,75.6175,489349000
USD000000TOD,D,230309,000000,75.755,76.295,75.59,75.8475,359645000
USD000000TOD,D,230310,000000,75.8175,76.0825,75.7875,75.98,486275000
USD000000TOD,D,230313,000000,76.0975,76.0975,74.92,75.22,499525000
USD000000TOD,D,230314,000000,75.1,75.5,74.955,75.195,363130000
USD000000TOD,D,230315,000000,75.2875,76.095,75.1525,76.03,560283000
USD000000TOD,D,230316,000000,76.0325,77.475,75.985,76.775,621975000
USD000000TOD,D,230317,000000,76.55,77.1375,76.3,77.13,441959000
USD000000TOD,D,230320,000000,77.1475,77.745,76.55,77.1175,541702000
USD000000TOD,D,230321,000000,77.01,77.3075,76.6,76.695,393898000
USD000000TOD,D,230322,000000,76.8175,77.1,76.5975,76.84,388163000
USD000000TOD,D,230323,000000,76.7325,76.965,75.7225,76.0275,531887000
USD000000TOD,D,230324,000000,76.175,76.8,76.0025,76.695,460424000
USD000000TOD,D,230327,000000,76.9,77.245,76.405,76.65,499511000
USD000000TOD,D,230328,000000,76.635,76.9775,76.285,76.8975,370988000
USD000000TOD,D,230329,000000,76.9925,77.17,76.64,77.0825,498566000
USD000000TOD,D,230330,000000,77.11,77.295,76.875,77.1275,383689000
USD000000TOD,D,230331,000000,77.01,77.9575,76.9325,77.5275,606177000
USD000000TOD,D,230403,000000,77.48,78.6725,77.405,78.53,320520000
USD000000TOD,D,230404,000000,78.705,79.67,78.705,79.1925,340983000
USD000000TOD,D,230405,000000,79.38,79.8375,79.2,79.7225,300878000
USD000000TOD,D,230406,000000,79.79,81.13,79.5975,81.065,366481000
USD000000TOD,D,230407,000000,81.3625,83.495,80.75,80.845,416241000
USD000000TOD,D,230410,000000,80.7675,82.1775,80.65,81.74,465916000
USD000000TOD,D,230411,000000,81.63,82.5725,81.6125,82.12,393899000
USD000000TOD,D,230412,000000,82.095,82.425,81.9725,82.2275,421783000
USD000000TOD,D,230413,000000,82,82.105,81.2375,81.485,479955000
USD000000TOD,D,230414,000000,81.5,81.785,81.1425,81.745,394426000
USD000000TOD,D,230417,000000,81.8775,82.3275,81.1575,81.52,404039000
USD000000TOD,D,230418,000000,81.355,81.935,81.25,81.69,362401000
USD000000TOD,D,230419,000000,81.4575,81.9725,81.4575,81.7325,473404000
USD000000TOD,D,230420,000000,81.8275,81.9175,81.28,81.4225,338816000
USD000000TOD,D,230421,000000,81.73,81.7975,81.25,81.6525,348826000
USD000000TOD,D,230424,000000,81.735,81.86,80.7875,81.33,459496000
USD000000TOD,D,230425,000000,81.5075,81.685,81.1825,81.6575,641808000
USD000000TOD,D,230426,000000,81.505,81.7525,81.46,81.515,379834000
USD000000TOD,D,230427,000000,81.6175,81.99,81.1775,81.25,584577000
USD000000TOD,D,230428,000000,81.1475,81.6225,79.03,80.4,648755000
USD000000TOD,D,230502,000000,80.26,80.62,79.57,79.7475,575018000
USD000000TOD,D,230503,000000,79.7125,80.05,78.9275,79.3,333383000
USD000000TOD,D,230504,000000,79.33,79.4875,77.635,77.925,461614000
USD000000TOD,D,230505,000000,78.15,78.2,76.265,78,641551000
USD000000TOD,D,230510,000000,78,78.2475,75.835,76.23,571198000
USD000000TOD,D,230511,000000,76.165,77.2075,75.23,76.925,537056000
USD000000TOD,D,230512,000000,77.0975,78.015,76.2,77.5925,531762000
USD000000TOD,D,230515,000000,78,79.505,77.965,79.335,459268000
USD000000TOD,D,230516,000000,79.1975,80.485,79.185,80.42,390362000
